item_nr;name;type;unit;work_minutes;lead_time_days;notes
P-1001;Cylinder housing, machined;purchased;pcs;0;21;
P-1002;Piston rod, chromed;purchased;pcs;0;14;
P-1003;Piston;purchased;pcs;0;10;
P-1010;Seal kit;purchased;pcs;0;5;
P-1020;Structural adhesive 2K;purchased;kg;0;3;
P-1030;Guide bearing;purchased;pcs;0;7;
P-1040;End cap;purchased;pcs;0;14;
P-2001;Position sensor PCB;purchased;pcs;0;28;
P-2002;Sensor magnet;purchased;pcs;0;7;
P-2003;Cable assembly M12;purchased;pcs;0;10;
P-2004;Potting compound;purchased;kg;0;5;
P-9001;Bolt M8x30;purchased;pcs;0;2;
P-9002;Hydraulic oil;purchased;l;0;2;
P-9010;Shipping box;purchased;pcs;0;3;
S-3001;Rod sub-assembly (rod + piston);manufactured;pcs;25;0;
S-3002;Sensor module, potted;manufactured;pcs;20;0;
S-3003;Sensor module, tested;manufactured;pcs;0;0;
S-3004;Cylinder assembly;manufactured;pcs;45;0;
F-4000;Hydraulic actuator HA-200;manufactured;pcs;60;0;
F-4001;Hydraulic actuator HA-200, tested & packed;manufactured;pcs;0;0;
